company,domain,beachhead,confidence,size,the_gap,status
CaptivateIQ,captivateiq.com,drift_refugee,high,"~263 employees (PitchBook/Tracxn, Feb 2026; Y Combinator lis","Your form hands the rep a name and an email; my system hands the rep '~263-person, SF, ICONIQ/Accel/Sequoia-backed sales",QUEUED
Ketch,ketch.com,drift_refugee,medium,~60-90 employees (sources vary: ketch.com/about says '60+'; ,"Their demo form hands a rep 'Ryan, a work email, and a one-line interest note' — and throws away that it's a 5-figure-AC",QUEUED
Sendoso,sendoso.com,qualified_priced_out,high,"~401 employees as of Apr 30, 2026 (Tracxn/Apollo). Note: dow","Their form hands a rep ""Patty, work email, Sendoso"" — and throws away that she's the SVP of Growth & Marketing who ran r",QUEUED
DNSFilter,dnsfilter.com,qualified_priced_out,medium,"~175 employees (Tracxn, as of Apr 2026; Growjo ranges simila","Your Marketo form hands a rep a name and an email — and throws away the company size, the security stack they already ru",QUEUED
Secureframe,secureframe.com,standard_icp,high,~127-200 employees (sources vary: ~127 per Tracxn as of Apr ,"Their form hands a rep a name and an email; the $20k-deal context — who this company is, headcount, framework footprint,",QUEUED
Thoropass,thoropass.com,standard_icp,high,~200-234 employees (LeadIQ Apr 2026: ~234 across 4 continent,"Their form hands a rep a name and an email; the $50k+ context — company size, funding stage, which framework deadline is",QUEUED
Procurify,procurify.com,standard_icp,high,~164 employees (Feb 2026 trackers); 180 reported Dec 2024 by,"Their form hands a rep a name and a company string — then makes that rep spend ~20 minutes rebuilding the ERP, the deal ",QUEUED
Pondurance,pondurance.com,standard_icp,medium,~126-137 employees (multiple third-party trackers: ZoomInfo/,"Their CRO is running a sales-led, often breach-urgent callback motion off a form that hands reps a name and an email — t",QUEUED
Ashby,ashbyhq.com,standard_icp,medium,~220 employees across 20+ countries as stated at the July 20,"Your demo form captures a name, an email, a headcount band, and which ATS they're on — then your rep burns ~20 minutes r",QUEUED
Revenova,revenova.com,standard_icp,high,~66-77 employees (SignalHire ~66; RocketReach ~74; PitchBook,"Their form tells the rep a name typed ""Demo Request"" — it can't tell them whether that's a 5-truck carrier or a $200M 3P",QUEUED
Alvys,alvys.com,standard_icp,high,"~130 employees as of Aug 2025, across North America and Euro","Their ""Get Demo"" form hands an AE a phone number and a one-word business type — then makes the rep spend ~20 minutes reb",QUEUED
Tai Software,tai-software.com,standard_icp,medium,~60 employees (62 named on their own About page as of 2026; ,"Every ""Book a Demo"" fill tells your rep a broker exists — not whether it's a 3-seat startup or a 200-truck operation wor",QUEUED
