company,website,form_url,buyer_name,buyer_role,linkedin_url,segment,company_size,deal_value_guess,crm_guess,weak_form_observation,sales_research_hypothesis,reason_now,fit_score,teardown_priority,outreach_status,teardown_status,next_action,next_action_date,notes
BeeHex Automation,https://beehexautomation.com/,https://beehexautomation.com/,,President / Business Development,,Robotics and AI integrator,11-50,High,Unknown,"Contact intake lists email and phone but does not visibly collect application type, payload, plant constraints, timeline, or budget.","application type, payload, facility constraints, robot brand, timeline, and budget","Robotics and AI integrator with high-ticket custom project motion",5,Teardown first,Not started,Not started,Find named owner or BD lead and send teardown ask,,Source: public site says robotics and AI integrator
Integro Technologies,https://www.integro-tech.com/,https://www.integro-tech.com/,,Sales Manager / Business Development,,Machine vision AI integrator,51-200,High,Unknown,"Quote/service path does not visibly separate deep learning use case, inspection target, line speed, part variability, or validation needs.","inspection target, line speed, camera/lighting constraints, defect types, validation needs, and timeline","Machine vision and AI projects need heavy pre-sales discovery",5,Teardown first,Not started,Not started,Find named sales or applications lead and send teardown ask,,Strong AI and machine-vision fit
Even Automation,https://www.evenautomation.com,https://www.evenautomation.com/contact-us,,Owner / Sales Manager,,Industrial automation integrator,11-50,High,Unknown,"Contact form offers a free onsite consultation but does not visibly capture process, equipment, plant location, constraints, or implementation urgency.","process type, existing equipment, plant location, downtime constraints, timeline, and budget","Regional automation integrator with consultative sales motion",5,Teardown first,Not started,Not started,Find owner or sales lead and send teardown ask,,Midwest industrial automation account
Stoeller Automation,https://www.stoeller.com/,https://www.stoeller.com/,,President / Sales Lead,,Robotics and custom automation,11-50,High,Unknown,"Site contact path is thin for a custom automation buyer and does not visibly capture process goal, quality issue, robot need, or facility constraints.","manufacturing process, quality issue, throughput goal, equipment constraints, and timeline","Custom automation projects require scoped discovery before quoting",4,Teardown first,Not started,Not started,Find owner or sales lead and send teardown ask,,Good fit for project-profile positioning
Acieta,https://www.acieta.com/,https://www.acieta.com/,,Director of Sales / Business Development,,Robotics automation integrator,201-500,High,Salesforce or Unknown,"Request-quote motion likely needs project application, facility size, production constraints, service needs, and training requirements before sales can route well.","application, facility size, robot type, service urgency, training needs, and budget","Large robotics integrator still sells complex custom automation projects",4,Teardown first,Not started,Not started,Find regional sales or BD leader and send teardown ask,,Larger but still non-SaaS industrial buyer
Freedom Automation,https://fainc.us/,https://fainc.us/,,Sales Manager / Engineering Manager,,Robotic systems integrator,11-50,High,Unknown,"Contact path does not visibly collect application type, robot cell need, part handling requirements, or support urgency.","application type, material handling need, robot brand, part specs, support urgency, and timeline","FANUC/ABB integrator with high-value consultative projects",5,Teardown first,Not started,Not started,Find sales or engineering lead and send teardown ask,,Michigan robotics integrator
Omni Automation,https://omniautomation.com/,https://omniautomation.com/,,President / Sales Manager,,Industrial automation and vision,11-50,High,Unknown,"Contact form asks for a message but does not visibly qualify robotics, AMR, material handling, Cognex vision, or project urgency.","automation category, plant location, current equipment, budget, timeline, and technical constraints","Regional automation firm with multiple technical solution lines",5,Teardown first,Not started,Not started,Find owner or sales lead and send teardown ask,,Good AI/vision adjacency through Cognex and robotics
EZ Automation,https://ezautomation.ai,https://ezautomation.ai/contact/,,Founder / Business Development,,Industrial automation consulting,1-20,High,Unknown,"Contact page invites automation consulting but does not visibly capture production challenge, equipment, ROI goal, timeline, or budget.","production challenge, equipment, ROI target, project scope, timeline, and budget","AI-domain and industrial automation positioning is highly aligned",5,Teardown first,Not started,Not started,Find founder or sales lead and send teardown ask,,Strong niche fit because domain uses .ai but sells industrial projects
MINO Automation USA,https://www.mino-automation.com,https://www.mino-automation.com/contact-mino/,,Sales Manager / US General Manager,,Intelligent manufacturing integrator,51-200,High,Unknown,"Contact page lists sales channels but does not visibly capture manufacturing line type, automation objective, process stage, or project timing.","line type, automation objective, current equipment, facility location, timeline, and stakeholders","Intelligent manufacturing sales likely needs project context before callback",4,Teardown first,Not started,Not started,Find US sales or GM contact and send teardown ask,,Auburn Hills automation account
Flores Automation,https://floresautomation.com,https://floresautomation.com/contact/,,Owner / Sales Lead,,Industrial controls and robotics,11-50,High,Unknown,"Quick contact form does not visibly qualify controls issue, mobile controls need, robotics application, installed equipment, or urgency.","controls issue, robotics application, installed equipment, service urgency, and location","Technical service buyer needs intake context before a useful first response",4,Teardown first,Not started,Not started,Find owner or sales lead and send teardown ask,,Milwaukee industrial controls account
Industrial Tool Inc,https://industrial-tool.com,https://industrial-tool.com/contact/,,Sales Manager / Business Development,,Robotic automation and custom machines,51-200,High,Unknown,"Contact form asks for basic details and message but does not visibly capture fixtures, CNC needs, robot cell scope, industry, or quote timing.","workholding need, robot cell scope, industry, part specs, quote timing, and budget","Turnkey automation and custom machine buyers need project-specific routing",5,Teardown first,Not started,Not started,Find sales or BD lead and send teardown ask,,Strong form-gap example because form fields are visible
McEnery Automation,https://www.mceneryautomation.com,https://www.mceneryautomation.com/contact-us,,Sales Manager / Operations Leader,,Process automation integrator,51-200,High,Unknown,"Contact page asks for manufacturing challenge but could collect more structured process, plant, PLC/control, urgency, and budget context before sales review.","manufacturing challenge, process type, PLC/control stack, plant location, urgency, and stakeholders","Process automation projects need scoped discovery before quoting",5,Teardown first,Not started,Not started,Find sales or operations leader and send teardown ask,,CSIA-certified positioning suggests consultative sales
AccuBilt,https://accubilt.com/,https://accubilt.com/,,Sales Manager / Business Development,,Turnkey automation systems,51-200,High,Unknown,"Request-a-quote motion does not visibly collect welding/material handling process, robot requirement, part specs, volumes, or timeline.","process type, part specs, production volume, robot requirement, budget, and timeline","Turnkey automation quote requests are high-context and high-value",5,Teardown first,Not started,Not started,Find sales lead and send teardown ask,,Robotics and welding automation fit
EAMVision,https://eamvision.com/,https://eamvision.com/,,Owner / Sales Manager,,Machine vision AI integrator,11-50,High,Unknown,"Contact prompt offers quotes and consultation but does not visibly structure defect type, camera setup, line speed, industry, or demo-software need.","defect type, camera setup, line speed, industry, validation needs, and budget","Machine vision and AI inspection discovery is a perfect project-profile use case",5,Teardown first,Not started,Not started,Find owner or sales lead and send teardown ask,,Strong AI/deep-learning language on public site
