priority,account,verified_signal,asset_status,required_action,owner,pricing_approval,relationship_approval,send_approval,current_stage,next_action_date,estimated_low,estimated_high,booked_revenue,invoice_id,cash_collected,proof_permission,notes
1,Miller Johnson,"Requested 60 mugs and 60 sticky-note padfolios for September retreat",Concepts and proof exist,"Map real SKUs; rebuild padfolio visual; approve quote",Kenny,Pending,Pending,Pending,Pricing blocked,2026-07-20,3500,6000,,,,Not requested,"Do not claim order; compare against AnyPromo only with verified facts"
2,"Nirenstein Horowitz & Associates","Operations Manager asked for meeting this week or next",No complete package found,"Approve response; prepare retreat concept; book meeting",Ryan/Maclaine,Hold,Pending,Pending,Meeting requested,2026-07-20,3000,8000,,,,Not requested,"No guarantee or discount language without Kenny"
3,"Joseph Hollander & Craft","Asked to receive mockups",Images lookbook proof page and draft exist,"Recheck PDF/logo/links/SKUs; approve delivery",Ryan/Maclaine,Hold,Pending,Pending,Package ready,2026-07-20,2000,6000,,,,Not requested,"Favicon-based logo and small PDF require extra QC"
4,Skyer Law,"Happy to review a mockup",No package found,"Verify logo and occasion; build three-item visual concept",Ryan/Maclaine,Hold,Pending,Pending,Build required,2026-07-21,2000,5000,,,,Not requested,"Concept only; no product or deadline promise before SKU review"
5,INVST,"Said to send mockups",Three mockups lookbook and draft exist,"Revalidate links/PDF; approve in-thread delivery",Ryan/Maclaine,Hold,Pending,Pending,Package ready,2026-07-20,2000,5000,,,,Not requested,"Confirm no prior send; current delay is approximately 11 days"
6,Harbor Haven,"Interested in managed camp store and bulk pricing",Relationship active,"Confirm store build and bulk shirt pricing",Kenny,Pending,Pending,Pending,Verbal yes/proofing,2026-07-20,0,3000,,,,Not requested,"Rough pipeline value only"
7,Woodcraft Camps,"Asked for pricing and typical camp markup",Pricing request,"Build margin-approved response",Kenny,Pending,Pending,Pending,Pricing blocked,2026-07-20,0,2000,,,,Not requested,"Do not publish or promise typical markup without approved margin data"
8,Camp Lilac,"Asked for pricing list",Pricing request,"Build and approve pricing response",Kenny,Pending,Pending,Pending,Pricing blocked,2026-07-20,0,2000,,,,Not requested,"Rough pipeline value only"
9,SquashSmarts,"Meeting had been scheduled",Status unclear,"Confirm whether meeting occurred and log outcome",Maclaine,Hold,Pending,Pending,Re-engaged,2026-07-20,0,1500,,,,Not requested,"Do not send a new pitch before checking thread/call history"
10,Wilmington CC,"Interested; incumbent vendor known",Status unclear,"Kenny follow-up call and disposition",Kenny,Hold,Pending,Pending,Re-engaged,2026-07-20,0,1500,,,,Not requested,"Rough pipeline value only"

