podcast_name,host_first,host_last,host_company,audience_fit_1to5,active_evidence(last episode date/title),email,booking_url,linkedin_url,pitch_hook(one factual line tying Ryan's story to THIS show's themes)
The Staffing Show,David,Folwell,StaffingHub / Staffing Referrals,5,"Jul 24 2026 — ""The Cost of Confidently Wrong AI"" (staffinghub.com, fetched 2026-07-25)",,https://staffinghub.com/the-staffing-show/the-staffing-show-guest-application/,,"Their latest episode is about 'confidently wrong AI' — Ryan runs a production AI outbound OS for staffing client acquisition and can talk real failure modes from live send data."
Secrets of Staffing Success,Brad,Bialy,Haley Marketing,5,"Jun 16 2026 — ""Why are we stuck chasing happiness? (Declan Edwards)"" (secretsofstaffingsuccess.podbean.com, fetched 2026-07-25)",,https://secretsofstaffingsuccess.podbean.com/,,"Show interviews staffing entrepreneurs on their differentiators; Ryan's is an AI client-acquisition OS built from a lifetime of cold outreach (Kirby door-to-door to tech SDR to founder)."
InSights (Haley Marketing - same feed as Secrets of Staffing Success),Brad,Bialy,Haley Marketing (co-host Matt Lozar),5,"InSights-branded ep Jan 12 2026 — ""Why Selling Staffing Is Harder Than Ever""; parent feed active Jun 16 2026 (podbean episode page fetched 2026-07-25)",,https://secretsofstaffingsuccess.podbean.com/,,"Their Jan 2026 InSights ep asked why selling staffing is harder than ever; Ryan answers with observed funnel math (~1 positive per 700-1,100 cold sends) and the AI system built around it."
"The Staffing Playbook Podcast, Powered by YES",Steve,Farrell,YES (co-host Genevieve Bourgeois),5,"Jul 23 2026 — ""The Whipsaw: Reading A Market That's Turning"" (thestaffingpodcast.podbean.com, fetched 2026-07-25)",,https://thestaffingpodcast.podbean.com/,,"Their 'Whipsaw' episode is about reading a turning staffing market — Ryan brings day-zero funnel math and tripwires for building pipeline when hours whipsaw."
The Full Desk Experience,Kortney,Harmon,Crelate,5,"Jul 23 2026 — Ep 160 ""Turn Routine Recruiter Calls into a Revenue Engine"" (crelate.transistor.fm/episodes, fetched 2026-07-25)",,https://www.crelate.com/blog/full-desk-experience,,"FDE Express argues 2026 is the year of operations and that AI amplifies bad process — exactly Dealthreads' operating-system-over-point-tools thesis for staffing BD."
The RAG Podcast (Recruitment Agency Growth),Sean,Anderson,Hoxo,5,"Jul 21 2026 — S9 Ep38 ""Louise Archer: From Zero Retained Revenue to £12M"" (rephonic.com listing, fetched 2026-07-25)",,https://podcasts.apple.com/gb/podcast/the-rag-podcast-recruitment-agency-growth-podcast/id1448482892,https://www.linkedin.com/in/sean-anderson-75052634/,"RAG runs real-and-raw founder journeys — Ryan's arc from Kirby door-to-door sales to tech SDR to building an AI outbound OS for staffing firms fits the format exactly."
The Resilient Recruiter,Mark,Whitby,Recruitment Coach,5,"Jul 8 2026 — ""How to Bill $1.29 Million Without Sacrificing Family Life"" (recruitmentcoach.com/podcast, fetched 2026-07-25)",membersupport@recruitmentcoach.com,https://recruitmentcoach.com/podcast/,,"Whitby's audience is recruiting firm owners chasing big solo billings — Ryan can walk through the AI-assisted BD engine a solo owner can actually run without hiring SDRs."
The Recruitment Network Podcast,James,Osborne,The Recruitment Network (TRN),5,"~Jul 22 2026 (3 days before fetch) — ""Doing Business Development Like A Superagency"" incl. AI prospecting (Apple Podcasts, fetched 2026-07-25)",,https://podcasts.apple.com/us/podcast/the-recruitment-network-podcast/id1519046234,,"Their latest ep is literally about structured scalable BD engines and AI prospecting for agencies — Dealthreads is that engine productized for staffing firms."
You Own the Experience Podcast,Lauren,Jones,Leap Consulting (co-host Rob Mann of Kyloe Partners),5,"CAUTION - last ep Jan 15 2026 — ""Real Tech Stack Talk with Bill Corwin"" (Apple Podcasts, fetched 2026-07-25); outside 90-day window",,https://creators.spotify.com/pod/profile/yoepodcast/,,"Show dissects the staffing tech stack and people experience — Ryan builds and operates an AI staffing-BD stack daily and can demo what's real vs. vendor hype."
The Staffing Buzz Network,Bob,Pettke,Automated Business Designs (Ultra-Staff EDGE),4,"~Jul 21 2026 (4 days before fetch) — ""Ultra-Staff EDGE Experts Discuss AI-Powered Staffing"" (thestaffingbuzznetwork.podbean.com, fetched 2026-07-25)",,http://www.abd.net,,"Their current episodes are on AI-powered staffing software decisions — Ryan brings the buyer/operator view: what an AI client-acquisition OS looks like in production."
The Elite Recruiter Podcast,Benjamin,Mena,Elite Recruiter Podcast / AI Recruiting Summit,4,"Jul 24 2026 — Ep 344 ""How To Find Your Real Driver. It Was Never Money"" (eliterecruiterpodcast.com, fetched 2026-07-25)",,https://www.eliterecruiterpodcast.com/guests/intake/,,"Mena runs AI Recruiting Summits for agency recruiters and firm owners — Ryan demos a working AI client-acquisition OS with live send data, not slideware."
Recruitment Mentors Podcast,Hishem,Azzouz,Azzouz Coaching / Recruitment Mentors,4,"Jul 23 2026 — Ep 705 (Ep 704 Jul 20: ""£4M Pipeline... Inside the Outbound System"") (recruitmentmentorspodcast.captivate.fm, fetched 2026-07-25)",,https://recruitmentmentorspodcast.captivate.fm/,https://www.linkedin.com/company/the-recruitment-mentors-podcast,"Ep 704 broke down a £4M outbound pipeline system — Ryan's Dealthreads OS is the AI-native version of that playbook, built by a lifelong cold-outreach seller."
Confessions of a Recruiter,Blake,Thompson,Vendito Consulting / xrecruiter (co-host Declan Kluver),4,"Jul 22 2026 — S3 E4 ""Rikki Tiwari | From Selling Timeshare to Running His Own Recruitment Business"" (buzzsprout.com/2030219, fetched 2026-07-25)",info@confessionspod.com,https://xrecruiter.io,,"Season 3 is all agency-founder origin stories — Ryan's door-to-door-to-AI-founder path plus the client-acquisition engine new agency owners need is squarely on theme."
The Recruiter's Recruitment Podcast,Lysha,Holmes,Qui Recruitment,4,"Apr 2026 — ep with Ali Braid on training gaps and why AI isn't delivering ROI without it (per Castbox/search listing, verified 2026-07-25)",,https://the-recruiters-recruitment-podcast.captivate.fm/,https://uk.linkedin.com/showcase/the-recruiters-recruitment-podcast,"Their Apr 2026 ep argued AI isn't delivering ROI for agencies without proper training — Ryan can show what AI adoption looks like when it's built as an operating system."
Digital Recruiter Podcast,Clark,Willcox,Digital Recruiter,4,"Jul 17 2026 — #127 ""Why Twelve People Matter More Than Twelve Thousand"" (Apple Podcasts, fetched 2026-07-25)",,https://podcasts.apple.com/us/podcast/digital-recruiter-podcast/id1702886454,,"Show teaches agency owners LinkedIn-plus-outbound client acquisition — Ryan pairs that with AI send infrastructure and observed reply-rate math from live campaigns."
Becoming a Hiring Machine,Sam,Kuehnle,Loxo,4,"Current feed at Ep 246 ""Tactical Tuesday - Recruitment Ratios Pt. 4""; Ep 237 ""Hiring Gen Z in 2026"" (loxo.co/podcasts, fetched 2026-07-25)",,https://www.loxo.co/podcasts,,"Their Tactical Tuesdays drill recruitment ratios and BD nurture campaigns — Ryan brings the funnel-math-backwards discipline behind an AI outbound engine."
Staffing Made Simple,,,SimpleVMS,4,"Jul 16 2026 — Ep 19 ""Build Trust Before the Pitch"" w/ Kendra Cato (simplevms.com category page, fetched 2026-07-25)",info@simplevms.com,https://simplevms.com/category/staffing-made-simple-podcast/,,"Recent eps cover staffing sales differentiation and turning ghosted prospects into clients — Ryan's AI outbound OS exists to solve exactly that for staffing firms."
How to Build a Care Agency,Danny,Rosenthal,Enginehire,4,"CAUTION - last ep Mar 31 2026 — ""Babysitter vs Nanny"" w/ Genna Hackley (enginehire.io/podcast, fetched 2026-07-25); just outside 90-day window",podcast@enginehire.ca,https://newslettermissioncontrol.enginehire.io/application-form/316/21649,,"Show is for staffing/care agency founders scaling profitably — Ryan can cover client acquisition systems that don't require hiring a sales team."
The Chad & Cheese Podcast,Chad,Sowash,Chad & Cheese (co-host Joel Cheesman),3,"~Jul 24 2026 (12 hours before fetch) — ""Indeed Terms, LinkedIn Ghosts, & Google Pitchforks"" (chadcheese.com, fetched 2026-07-25)",,https://www.chadcheese.com/contact-us,,"HR's snarkiest industry show loves calling out AI vaporware — Ryan can defend the thesis that most 'AI for staffing' is a wrapper, with real send data as receipts."
Recruiting Future,Matt,Alder,Recruiting Future,3,"Jul 24 2026 — Ep 810 ""End-to-End Hiring Intelligence"" (recruitingfuture.com, fetched 2026-07-25)",,https://recruitingfuture.com/contact/,,"Alder covers AI's data foundation in hiring — Ryan's angle: the same agentic-AI shift applied to the agency side's client acquisition, with production numbers."
