company,website,fetch_ok,signals,signal_score,evidence
ACS Web Design and SEO,acs-web.com,True,PAID_MEDIA;HIRING;ESTABLISHED,6,PAID_MEDIA: …o) generative engine optimization (geo) ppc marketing social media marketing copywriting lead… | HIRING: …our history our process our vision our careers our clients web services website design web appli… | ESTABLISHED: …en by results. delivered in house. over 25 years of expertise in compliance-first web design for a…
A Graphix Design,agraphixdesign.com,True,,0,
610 Digital,610digital.com,True,PAID_MEDIA,3,PAID_MEDIA: …ty traffic and skyrocket your return on ad spend (roas). integrations + automations seamless workf…
Ad Mechanics,admechanics.com,True,,0,
"14th Floor Solutions, LLC",14thfloorsolutions.com,True,HIRING;ESTABLISHED,3,"HIRING: …loped that perspective during a 25 year career in the consumer products industry, where he serve… | ESTABLISHED: …ompelling, concise and memorable.&nbsp; since 2007, 14th floor solutions has served over 60 amazing…"
4ShorePromos,http://4ShorePromos.com,True,,0,
30 Degrees North,30degreesnorth.com,True,,0,
Advisor Elevated,advisorelevated.com,True,,0,
10Next,10next.biz,True,,0,
ABC Idea Based,http://abcideabased.com,True,ESTABLISHED,1,"ESTABLISHED: …nd the spirit of independence. for over 20 years, we’ve helped brands tell their stories through b…"
3 Aspens Media,3aspensmedia.com,True,HIRING;PROJECT_HIGH_TICKET,3,HIRING: …w we help team how we work with you faq careers what our clients say get in touch services what w… | PROJECT_HIGH_TICKET: …sional service providers resources blog case studies downloadable resources attract. engage. grow. thr…
190west,190west.com,True,PAID_MEDIA;RETAINER;HIRING;ESTABLISHED,8,"PAID_MEDIA: …op our overall strategy for organic and paid search while acting as a true extension of our marketing… | RETAINER: …l it the all-in approach™. working on a retainer, we collaborate with you and complement your team… | HIRING: …tion campaigns | 190west resources blog careers contact marketing to buyers what we do target buy… | ESTABLISHED: …connecting businesses with their buyers since 2007 let's connect scroll what we deliver target buyer…"
AgHires,aghires.com,True,HIRING;PROJECT_HIGH_TICKET,3,HIRING: …rch jobs submit your resume internships career advice blog employer recruitment services post a… | PROJECT_HIGH_TICKET: …aghires work at aghires testimonials & case studies contact us sign in / sign up i&#039;m a job seeke…
AfterHours Marketing,https://afterhoursmarketingagency.co,True,PAID_MEDIA;PROJECT_HIGH_TICKET,4,PAID_MEDIA: …ized funnel playbook landing page setup meta ads setup manychat automation email nurture sequence… | PROJECT_HIGH_TICKET: …e helped grow clients testimonials mini case studies from cold leads to a fully booked calendar in 10…
AICP Corp,aicpcorp.com,True,,0,
AdRev Digital,http://adrevai.com,True,ENTERPRISE_CLIENTS,2,"ENTERPRISE_CLIENTS: …gency with boutique level service &amp; fortune 500 power. our expert team—spanning digital, a.i. to…"
Advertising for Humanity,advertisingforhumanity.com,True,,0,
5 STAR PROMO,5starpromo.com,True,,0,
adidas,adidas.com,False,,0,
1st Choice Marketing,1stchoicemktg.com,True,RETAINER,2,"RETAINER: …hics, we elevate your digital identity. retainer services flexible retainer services at hourly rat…"
AlphaGraphics Bountiful,agbountiful.com,True,ESTABLISHED,1,"ESTABLISHED: …for utah printing services . with over 30 years of industry experience, our team members are dedi…"
"Agency Jet / A Digital Marketing Company, AI / SEO Marketing, Pay Per Click  & Website Development",agencyjet.com,True,PAID_MEDIA;PROJECT_HIGH_TICKET,4,"PAID_MEDIA: …gital marketing agency: affordable seo, ppc &amp; web design and development services | agenc… | PROJECT_HIGH_TICKET: …s | agency jet skip to content about us case studies our services show submenu for our services seo se…"
AI Smart Ventures,aismartmarketing.com,True,,0,
"Above the Bar Marketing, LLC",abovethebarmarketing.com,True,,0,
