day,date,week,weekly_theme,platform,format,pillar,topic,angle,cta,asset_needed,metric
1,2026-06-01,Week 1,Problem awareness: the dead contact form,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,The hidden cost of a contact form that only captures name/email,Show the 20-minute research gap after form submit.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
2,2026-06-02,Week 1,Problem awareness: the dead contact form,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,5 signs your inbound form is quietly cooling off buyers,Face-to-camera with examples from demo/contact forms.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
3,2026-06-03,Week 1,Problem awareness: the dead contact form,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,Static form vs buyer profile: what sales actually needs,Visual split: raw submission vs enriched dossier.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
4,2026-06-04,Week 1,Problem awareness: the dead contact form,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Teardown: a public B2B demo form that leaves reps blind,Use a safe public example; no dunking.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
5,2026-06-05,Week 1,Problem awareness: the dead contact form,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: building the thin-form-to-full-profile demo,Show the pipeline: submit -> enrich -> profile.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
6,2026-06-06,Week 1,Problem awareness: the dead contact form,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: what does your form ask that sales ignores?,Ask founders/RevOps what fields matter.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
7,2026-06-07,Week 1,Problem awareness: the dead contact form,Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,"Week 1 recap: the problem is not forms, it is missing context",Newsletter with best examples and CTA.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
8,2026-06-08,Week 2,Educational foundation: what a buyer profile should include,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,What belongs in a useful buyer profile before the first callback,"List company, person, intent, fit, urgency, next action.","Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
9,2026-06-09,Week 2,Educational foundation: what a buyer profile should include,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Demo: raw inbound lead turned into a rep call-prep brief,Screen recording of a sample dossier.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
10,2026-06-10,Week 2,Educational foundation: what a buyer profile should include,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,The buyer profile checklist for B2B teams,Saveable checklist.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
11,2026-06-11,Week 2,Educational foundation: what a buyer profile should include,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Example: how a $50k-fit lead and a tire kicker look identical in a form,Before/after narrative.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
12,2026-06-12,Week 2,Educational foundation: what a buyer profile should include,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: the fields we refuse to fake when enrichment is unknown,Trust/accuracy principle.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
13,2026-06-13,Week 2,Educational foundation: what a buyer profile should include,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: what do your reps Google after a demo request?,Gather voice-of-customer.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
14,2026-06-14,Week 2,Educational foundation: what a buyer profile should include,Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,Weekly guide: buyer profile fields that actually change follow-up,Newsletter / blog roundup.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
15,2026-06-15,Week 3,Solution exploration: form vs chatbot vs enrichment vs routing,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,Chatbots are not the category. Better inbound context is.,Position away from generic chat widget.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
16,2026-06-16,Week 3,Solution exploration: form vs chatbot vs enrichment vs routing,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Video: Intercom/Drift/Qualified vs AI buyer-profile form,Plain-English comparison.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
