company,website,form_url,buyer_name,buyer_role,linkedin_url,segment,company_size,deal_value_guess,crm_guess,weak_form_observation,sales_research_hypothesis,reason_now,fit_score,teardown_priority,outreach_status,teardown_status,next_action,next_action_date,notes
Dock,https://www.dock.us,https://www.dock.us/demo,,Head of Revenue / Growth,,Sales enablement,51-200,High,Salesforce or HubSpot,"Demo page sells buyer workspaces but does not make use case, deal stage, routing owner, or sales process context obvious.","current sales motion, CRM, team size, active deal workflow, and urgency","Sales rooms depend on fast handoffs and buyer context",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public demo page; size estimate directional
Walnut,https://www.walnut.io,https://www.walnut.io/,,VP Sales / Demand Generation,,Interactive demo software,51-200,High,Salesforce or HubSpot,"Homepage drives to book-a-demo motion but the public CTA does not make buyer profile handoff fields obvious.","team size, product demo workflow, current sales cycle, urgency, and CRM","Interactive demo category should understand the cost of low-context demo requests",4,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Public site has demo CTA; use homepage as form path if direct form is gated
Navattic,https://www.navattic.com,https://www.navattic.com/demo,,Head of Growth / Revenue,,Interactive demo software,51-200,High,HubSpot,"Demo page emphasizes interactive product demos but does not visibly pre-qualify sales handoff context.","demo use case, ICP, current conversion issue, traffic source, and urgency","Strong fit because their buyer cares about demo conversion and pre-sales context",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public demo page
Storylane,https://www.storylane.io,https://www.storylane.io/request-demo,,VP Growth / Revenue Marketing,,Interactive demo software,51-200,High,HubSpot,"Demo request path asks for a meeting but does not make timeline, ICP fit, or buyer intent capture obvious.","use case, website traffic source, sales cycle, team ownership, and CRM","Their product category makes them a strong teardown-first account",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public demo request page
UserEvidence,https://userevidence.com,https://userevidence.com/platform/evidence/,,Head of Revenue Marketing / Customer Marketing,,Customer evidence,51-200,High,Salesforce or HubSpot,"Public product path pushes demo interest but does not make proof workflow, active-deal use case, or CRM handoff context obvious.","sales use cases, proof gaps, CRM/content stack, buying committee, and urgency","Customer evidence teams know the value of context in active opportunities",4,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Public page blocks simple fetch for some clients; account still fits category
Common Room,https://www.commonroom.io,https://www.commonroom.io/demo/,,Head of Revenue / Community-Led Growth,,GTM intelligence,51-200,High,Salesforce,"Demo page sells signal intelligence but does not visibly collect community signal context, routing owner, or current GTM workflow.","ICP, signal sources, CRM, routing rules, current handoff pain, and timeline","Strong fit because their category already values buyer and account signals",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public demo path
UserGems,https://www.usergems.com,https://www.usergems.com/contact,,VP Demand Generation / RevOps,,Pipeline generation,51-200,High,Salesforce,"Contact/demo page captures demo intent but does not make CRM signal gaps or lead routing context obvious.","CRM, job-change signal workflow, ICP, rep ownership, and urgency","Revenue signal tools should care about first-contact buyer context",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified request demo page
Dreamdata,https://dreamdata.io,https://dreamdata.io/request-demo,,Head of Marketing Ops / RevOps,,B2B attribution,51-200,High,HubSpot or Salesforce,"Demo page focuses on attribution but does not visibly pre-capture funnel source, CRM architecture, or buying timeline.","channel mix, CRM, attribution pain, deal size, stakeholders, and urgency","Attribution buyers care about source quality and conversion handoff gaps",4,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public request demo page
Factors.ai,https://www.factors.ai,https://www.factors.ai/,,Head of Demand Generation,,ABM analytics,51-200,High,HubSpot or Salesforce,"Homepage demo motion sells ABM analytics but does not make account identification, routing, or current lead-quality pain obvious.","traffic source, account matching, CRM, ICP, sales handoff rules, and urgency","AI ABM positioning gives a natural angle for buyer-profile enrichment",4,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Public homepage verified; use demo CTA from site
Metadata.io,https://metadata.io,https://metadata.io/platform/,,VP Marketing / Demand Generation,,Marketing automation,51-200,High,Salesforce,"Demo path lands on broad platform context and may leave campaign, budget, ICP, and CRM detail for sales to research.","campaign motion, ad budget, ICP, CRM, attribution stack, and urgency","Revenue marketers buying automation are sensitive to lead quality and speed-to-lead",4,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified platform/demo redirect path
ChurnZero,https://churnzero.com,https://churnzero.com/live-demo-of-churnzero/,,VP Sales / Revenue Operations,,Customer success SaaS,201-500,High,Salesforce,"Live demo page captures product interest but does not make customer segment, CS motion, CRM/CS stack, or expansion goal obvious.","customer segment, CS platform stack, expansion motion, team size, and urgency","Customer-success platforms sell high-consideration demos and need qualified handoffs",4,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public demo page
Planhat,https://www.planhat.com,https://www.planhat.com/applications/psa,,VP Revenue / Professional Services Leader,,Customer success and services ops,201-500,High,Salesforce,"Product page CTA pushes demo interest but does not make service-delivery workflow, CRM, or buying committee context obvious.","services workflow, CRM, team structure, implementation pain, and urgency","High-value services ops buyer with complex qualification needs",4,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public product path with demo motion
Vitally,https://www.vitally.io,https://www.vitally.io/demo-request,,VP Revenue / Customer Success Ops,,Customer success SaaS,51-200,High,Salesforce,"Demo request page is built for CS buyers but does not visibly capture account segment, expansion motion, or current handoff model.","customer segment, CS tech stack, CRM, expansion workflow, and urgency","CS software demo leads need context before a consultative sales call",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public demo request page
Drata,https://drata.com,https://drata.com/demo//,,VP Revenue / Demand Generation,,Security compliance,501-1000,High,Salesforce,"Demo page is compliance-focused but public form flow may still leave framework urgency, audit deadline, and tech stack context for sales.","compliance frameworks, audit timeline, company size, security stack, and decision-makers","Compliance buyers have urgent timelines and high-value sales motion",4,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Public demo page blocks simple fetch for some clients; account fit is strong
Secureframe,https://secureframe.com,https://secureframe.com/schedule-demo,,VP Revenue / Growth,,Security compliance,201-500,High,Salesforce,"Schedule-demo path captures meeting intent but does not make compliance framework, audit deadline, or current security stack obvious.","framework need, audit deadline, team size, security tools, and urgency","Compliance demo flow is ideal for buyer-profile enrichment",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public schedule demo page
Sprinto,https://sprinto.com,https://sprinto.com/book-a-demo/,,Head of Growth / Revenue,,Security compliance,201-500,High,HubSpot or Salesforce,"Book-a-demo page is clear but does not visibly pre-build the audit timeline, framework, or security-stack profile.","target framework, audit date, company size, stack, decision-maker, and urgency","Compliance urgency creates a clear teardown angle",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public book-a-demo page
Thoropass,https://www.thoropass.com,https://www.thoropass.com/talk-to-an-expert,,VP Sales / Revenue Operations,,Security compliance,201-500,High,Salesforce,"Talk-to-an-expert path positions expert help but does not make audit urgency, framework fit, or current control maturity obvious.","frameworks, audit timeline, control maturity, team size, and stakeholders","Expert-led compliance sales benefits from enriched lead context",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public talk-to-an-expert page
Hyperproof,https://hyperproof.io,https://hyperproof.io/request-a-demo/,,VP Revenue / Demand Generation,,Compliance operations,51-200,High,Salesforce,"Request-demo path likely needs compliance program maturity and framework context before the first sales reply.","frameworks, program maturity, audit pressure, current GRC stack, and stakeholders","Compliance operations is high-context and high-intent when inbound leads arrive",4,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Public demo page blocks simple fetch for some clients; use search result and site validation
Cube,https://www.cubesoftware.com,https://www.cubesoftware.com/get-a-demo,,VP Sales / Revenue Marketing,,FP&A software,201-500,High,Salesforce,"FP&A demo page captures interest but does not visibly collect finance stack, planning process, urgency, or stakeholder context.","ERP/finance stack, planning process, budget cycle, team size, and urgency","Finance software deals are consultative and benefit from pre-call buyer profiles",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public demo page
Zip,https://zip.com,https://zip.com/request-demo,,VP Revenue / Demand Generation,,Procurement software,501-1000,High,Salesforce,"Request-demo page sells procurement transformation but does not make procurement process, spend scale, or buying committee context obvious.","spend scale, procurement workflow, current tools, compliance needs, and stakeholders","Procurement platform deals are high-value and multi-stakeholder",4,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public request demo page
Spekit,https://www.spekit.com,https://www.spekit.com/demo-request,,VP Revenue / Sales Enablement,,Sales enablement,51-200,High,Salesforce,"Demo request page sells revenue enablement but does not visibly collect enablement pain, team structure, CRM, or rollout urgency.","sales team size, enablement pain, CRM, rollout timing, and content stack","Revenue enablement buyer should understand first-contact context gaps",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public demo request page
WorkRamp,https://www.workramp.com,https://www.workramp.com/contact,,VP Revenue / Learning Operations,,LMS and enablement,201-500,High,Salesforce,"Contact/demo page asks for a demo but does not make training use case, team size, LMS stack, or rollout timeline obvious.","team size, training use case, LMS stack, stakeholder group, and timeline","AI-first LMS positioning creates a clean AI buyer-profile angle",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public contact/demo page
Matik,https://www.matik.io,https://www.matik.io/learn-more,,VP Sales / Revenue Enablement,,Presentation automation,51-200,High,Salesforce,"Learn-more demo path sells automated presentations but does not make sales content workflow, CRM, or deal-stage context obvious.","sales content workflow, CRM, presentation use case, team size, and urgency","Sales-content automation deals need better handoff context from demo requests",5,Teardown first,Not started,Not started,Find named buyer and send teardown ask,,Verified public request demo page
