rank,status,fit_score_100,first_name,last_name,title,company_name,website,linkedin_url,offer_summary,gtm_leak_observed,evidence_url,personalized_observation,recommended_mini_audit_angle,opener,last_touch_date,next_action,notes
1,TARGET_FOUND,85,,,,"AI Automation Agency: What It Actually Is, What It Costs, and How to ...",https://www.shape-labs.com/articles/ai-automation-agency,,"An AI automation agency builds AI-driven workflows that replace manual work — ops, sales, marketing, support ... Here's the founder ... book a call. 30 minutes, no ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://www.shape-labs.com/articles/ai-automation-agency,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at AI Automation Agency: What It Actually Is, What It Costs, and How to .. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY_AND_CREATE_MINI_AUDIT,"Source query: ""AI automation agency"" ""book a call"" founder"
2,TARGET_FOUND,85,,,,AI Automation Agency in USA | Custom AI Automation Services,https://aiautomationagency360.com/,,"Phone Icon Book a Call. AI Automation Agency That Transforms the Way You Work. The AI automation agency ... Founder & CEO, Digital Media Company. AI Compliance ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://aiautomationagency360.com/,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at AI Automation Agency in USA | Custom AI Automation Services. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY_AND_CREATE_MINI_AUDIT,"Source query: ""AI automation agency"" ""book a call"" founder"
3,TARGET_FOUND,80,,,,Make.com Consultant | Hire a Certified Make Expert,https://www.business-automated.com/make-consultant,,Certified Make.com Consultant — Automation That Actually Holds Up. We're a ... Book a call now! Logo figure. Business Automated. Services. Airtable ...,Potential broad AI/automation positioning. Needs manual verification before send.,https://www.business-automated.com/make-consultant,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Make.com Consultant | Hire a Certified Make Expert. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY_AND_CREATE_MINI_AUDIT,"Source query: ""Make.com"" automation consultant ""book a call"""
4,TARGET_FOUND,78,,,,AI Consultant Agency 2026: How to Pick + What to Pay,https://justinmckelvey.com/blog/ai-consultant-agency,,"""Who from your team will actually work on my project?"" Get specific names, LinkedIn URLs, years of experience. ... AI Automation Consultant: What ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://justinmckelvey.com/blog/ai-consultant-agency,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at AI Consultant Agency 2026: How to Pick + What to Pay. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY_AND_CREATE_MINI_AUDIT,"Source query: ""AI automation consultant"" ""Book a call"" ""LinkedIn"""
5,TARGET_FOUND,78,,,,AI Workflow Automation Agency Services (SOC 2 Certified Platform),https://assembly-industries.com/feeds/service/ai-workflow-automation-agency,,"AI Workflow Automation Agency Services. Assembly ... Sumant Yerramilly, CEO & Co-Founder of Assembly Industries. Sumant Yerramilly. CEO & Co-Founder ... CEO ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://assembly-industries.com/feeds/service/ai-workflow-automation-agency,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at AI Workflow Automation Agency Services (SOC 2 Certified Platform). The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY_AND_CREATE_MINI_AUDIT,"Source query: ""AI workflow automation"" agency founder"
6,TARGET_FOUND,77,,,,The Ai Automation Agency,https://theaiautomationagency.ai/,,"In just 90 Days. AI fully integrated into business within 90 days. Book a Call ... AI Automation Agency 2025, All rights reserved.",Potential broad AI/automation positioning. Needs manual verification before send.,https://theaiautomationagency.ai/,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at The Ai Automation Agency. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY_AND_CREATE_MINI_AUDIT,"Source query: ""AI automation agency"" ""book a call"" founder"
7,TARGET_FOUND,77,,,,What an AI Automation Agency Does (How to Choose),https://goodspeed.studio/blog/ai-automation-agency,,Book a call or start with a Signal Sprint to scope your project. What Does an AI Automation Agency Actually Do? An AI automation agency is not a consulting ...,Potential broad AI/automation positioning. Needs manual verification before send.,https://goodspeed.studio/blog/ai-automation-agency,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at What an AI Automation Agency Does (How to Choose). The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY_AND_CREATE_MINI_AUDIT,"Source query: ""AI automation agency"" ""book a call"" founder"
8,TARGET_FOUND,75,,,,Valentin Pichon - Business Manager & AI Automation Consultant,https://sg.linkedin.com/in/valentinpichon13,https://sg.linkedin.com/in/valentinpichon13,Business Manager & AI Automation Consultant · Business & Sales Leader | AI & Automation Consultant Book a call with me : https ... LinkedIn ...,Potential broad AI/automation positioning. Needs manual verification before send.,https://sg.linkedin.com/in/valentinpichon13,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Valentin Pichon - Business Manager & AI Automation Consultant. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY_AND_CREATE_MINI_AUDIT,"Source query: ""AI automation consultant"" ""Book a call"" ""LinkedIn"""
9,TARGET_FOUND,75,,,,LinkedIn Video | Dara Denney | 12 comments,https://www.linkedin.com/posts/daradenney_linkedin-video-activity-7365880950313984002-tuUi,https://www.linkedin.com/posts/daradenney_linkedin-video-activity-7365880950313984002-tuUi,"Usman Y. AI Automation Consultant for Startups | AI Agents, Workflow ... Book a call. 9mo. Report this comment; Close menu. Yes. Like.",Potential broad AI/automation positioning. Needs manual verification before send.,https://www.linkedin.com/posts/daradenney_linkedin-video-activity-7365880950313984002-tuUi,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at LinkedIn Video | Dara Denney | 12 comments. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY_AND_CREATE_MINI_AUDIT,"Source query: ""AI automation consultant"" ""Book a call"" ""LinkedIn"""
10,TARGET_FOUND,75,,,,Matt McAllen - AI Automation Consultant | Business Strategy ...,https://mattmcallen.com/,,Expert AI automation consultant helping businesses save time and reduce costs ... LinkedIn; Book a Call. © 2026 Matt McAllen. Helping businesses discover and ...,Potential broad AI/automation positioning. Needs manual verification before send.,https://mattmcallen.com/,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Matt McAllen - AI Automation Consultant | Business Strategy .... The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY_AND_CREATE_MINI_AUDIT,"Source query: ""AI automation consultant"" ""Book a call"" ""LinkedIn"""
