First Name,Last Name,Company Name,Phone Number,City,State/Region,Lifecycle Stage,Lead Tier,Trade,Buying Signal,Complaint Types,Best Quote,Call Opener,Google Rating,Review Count,Website,Google Maps URL
Precision Garage Door,,Precision Garage Door,(843) 253-0355,Charleston,South Carolina,Lead,A - Signal,garage_door,yes,slow_response,"It was a long wait, but I'm glad it's finally done.","A) Saw a recent review say: ""It was a long wait, but I'm glad it's finally done."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.9,575,https://www.garagedoorscharlestonsc.com/locations/summerville/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=summerville,https://maps.google.com/?cid=17152534745488831618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
"Airport Heating & Cooling, Inc",,"Airport Heating & Cooling, Inc",(803) 926-9527,Columbia,South Carolina,Lead,A - Signal,hvac,yes,slow_response,I still have yet to receive an estimate by mail or email,"A) Saw a recent review say: ""I still have yet to receive an estimate by mail or email"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.9,540,http://www.airportheatingandcooling.com/,https://maps.google.com/?cid=14842830282505405718&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Alpha Air Heating and Cooling,,Alpha Air Heating and Cooling,(803) 322-8015,Rock Hill,South Carolina,Lead,A - Signal,hvac,yes,slow_response,"after that initial visit and paying them the $70, we didn't hear anything else from them.","A) Saw a recent review say: ""after that initial visit and paying them the $70, we didn't hear anything else from them."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",5,527,https://alphaairheatingandcooling.com/,https://maps.google.com/?cid=7486412111317055805&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Overhead Door Company of Charlotte,,Overhead Door Company of Charlotte,(704) 887-3667,Rock Hill,South Carolina,Lead,A - Signal,garage_door,yes,"scheduling, no_show",Sent me a confirmation email and then never showed up !!,"A) Saw a recent review say: ""Sent me a confirmation email and then never showed up !!"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.9,523,https://overheaddoorofcharlotte.com/,https://maps.google.com/?cid=4704662675654341610&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
"Advantage AC, Tire & Repair",,"Advantage AC, Tire & Repair",(864) 410-2466,Spartanburg,South Carolina,Lead,A - Signal,hvac,yes,slow_response,on hold for 17 mins is rough for any customer when it's a 'I'll be right back',"A) Saw a recent review say: ""on hold for 17 mins is rough for any customer when it's a 'I'll be right back'"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,449,https://www.advantagemuffler.net/,https://maps.google.com/?cid=5982344988083806862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
One Hour Heating & Air Conditioning,,One Hour Heating & Air Conditioning,(843) 284-9119,Charleston,South Carolina,Lead,A - Signal,hvac,yes,"scheduling, no_show","I took off work early and waited 3 hours in a hot house, I called him back and was told he was pulled off the job for something else","A) Saw a recent review say: ""I took off work early and waited 3 hours in a hot house, I called him back and was told he was pulled off the job for something else"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,435,https://onehourmagic.com/charleston/?utm_source=GBP&utm_medium=organic&utm_campaign=googlebusiness,https://maps.google.com/?cid=13397778031485990550&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Air Solutions Heating and Cooling,,Air Solutions Heating and Cooling,(843) 755-6879,Florence,South Carolina,Lead,A - Signal,hvac,yes,slow_response,After 6 calls Monday no one had a clue what was going on.,"A) Saw a recent review say: ""After 6 calls Monday no one had a clue what was going on."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,364,https://www.airsolutionssc.com/,https://maps.google.com/?cid=7971838879598348295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
OGD Overhead Garage Door,,OGD Overhead Garage Door,(803) 879-5100,Columbia,South Carolina,Lead,A - Signal,garage_door,yes,"slow_response, communication",most times I have to follow up 2-3 times to get a response,"A) Saw a recent review say: ""most times I have to follow up 2-3 times to get a response"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.6,340,https://ogd.com/sc/columbia/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-cae-01&ogd_src=ogd-cae-01-google_business_profile,https://maps.google.com/?cid=12349169392537606720&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Purpose Plumbing,,Purpose Plumbing,(843) 793-0461,Charleston,South Carolina,Lead,A - Signal,plumber,yes,"scheduling, no_show, communication","showed up late two different times, then got mad at me for not being home 2 hours after their window","A) Saw a recent review say: ""showed up late two different times, then got mad at me for not being home 2 hours after their window"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.4,332,https://www.purposeplumbingsc.com/,https://maps.google.com/?cid=16758412696004701366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Greymen's Plumbing,,Greymen's Plumbing,(803) 524-6126,Rock Hill,South Carolina,Lead,A - Signal,plumber,yes,"scheduling, no_show","the first day they were supposed to arrive at 9, but would shoot for 8am. Jack wasn't there the next morning","A) Saw a recent review say: ""the first day they were supposed to arrive at 9, but would shoot for 8am. Jack wasn't there the next morning"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.9,311,https://greymensplumbing.com/,https://maps.google.com/?cid=4085262575998571926&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
