rank,company,website,form_url,segment,employee_estimate,fit_score,buying_signals,evidence_url,suspected_crm_form_tooling,contact_persona,linkedin_company_url,teardown_angle,personalized_opener,next_action_status,owner,loom_url,message_sent_date,last_touch_date,reply_summary,next_human_action,notes
1,Projul,https://projul.com,https://projul.com/,Construction management SaaS,~10-50,94,Founder-led; construction-specific; Book a demo CTA; built by former contractor; likely founder/operator sales motion,https://projul.com/about/our-story/,Unknown; website has demo CTA,Kurt Clayson — Founder & CEO,https://www.linkedin.com/in/kurtclayson,"Their form gets the contractor hand-raise, but sales still needs project type, company size, trade, current workflow, urgency, and first question before callback.","Saw Projul was built by a contractor and has a demo motion for construction teams. Quick gap I noticed: the form can capture the hand raise, but the rep still has to rebuild company fit + job context after submit. Want me to send a 2-min teardown of what the form could hand sales before callback?",LOOM_NEEDED,Ryan,,,,,Record/send Loom to Kurt Clayson or nearest sales/growth leader; use prospect-specific teardown file.,Contact mapped: Kurt Clayson (Founder & CEO). Why: Founder-led + active AI adjacent posts; best peer-to-peer target.
2,PortPro,https://portpro.io,https://portpro.io/request-demo,Drayage/TMS SaaS,~50-100,93,Vertical logistics; request-demo page; high operational ACV; drayage buyers need context; likely HubSpot-ish sales motion,https://portpro.io/request-demo,Unknown,Michael Mecca — Creator / founder-style operator,https://www.linkedin.com/in/michael-mecca-58085aab,"Drayage demos need carrier/broker type, fleet/container volume, TMS pain, ports/lanes, urgency, and integration needs before the call.","Looked at PortPro’s request-demo flow. Drayage leads are context-heavy — carrier vs broker, container volume, current TMS, ports, urgency. Want me to send a 2-min teardown showing what a rep-ready buyer profile could look like before callback?",LOOM_NEEDED,Ryan,,,,,Record/send Loom to Michael Mecca or nearest sales/growth leader; use prospect-specific teardown file.,"Contact mapped: Michael Mecca (Creator / founder-style operator). Why: Public PortPro creator profile; use if CEO unavailable. Secondary: Walker Banks, COO."
3,Revenova,https://revenova.com,https://revenova.com/request-a-demo/,Freight broker/TMS SaaS,~50-100,92,Existing target; freight/logistics vertical; demo-led; sub-100; ACV likely high,https://revenova.com/request-a-demo/,Salesforce ecosystem likely; verify,Chris Wyndham — President & CEO,https://www.linkedin.com/in/chris-wyndham-1a29a529b,"A freight demo request should not just say “Demo Request”; it should tell sales broker/carrier type, shipment volume, current TMS, integration needs, and urgency.",Quick note — freight/TMS demo requests are usually too thin for how much context the rep needs. I’m building Dealthreads to turn the form submit into a buyer profile before callback. Want me to send a teardown of the fields Revenova’s rep would ideally see?,LOOM_NEEDED,Ryan,,,,,Record/send Loom to Chris Wyndham or nearest sales/growth leader; use prospect-specific teardown file.,"Contact mapped: Chris Wyndham (President & CEO). Why: Current CEO; use Salesforce/TMS handoff angle. Secondary: Jeff Parisi, VP Sales."
4,Tai Software,https://tai-software.com,https://tai-software.com/demo/,Freight brokerage TMS SaaS,~40-80,91,Existing target; freight brokerage; demo-led; low-key enough; complex sales context,https://tai-software.com/demo/,Unknown,Walter Mitchell — Founder & CEO,https://www.linkedin.com/in/waltermitchell,"Every freight-broker demo has hidden qualification: broker size, shipment volume, current system, pain, urgency, and integration requirements.","Saw Tai’s broker-focused demo motion. The form can capture contact info, but a rep still needs to know if it’s a 3-person brokerage or a scaling team with serious volume. Want a quick teardown of the buyer-profile gap?",LOOM_NEEDED,Ryan,,,,,Record/send Loom to Walter Mitchell or nearest sales/growth leader; use prospect-specific teardown file.,Corrected demo URL from /book-a-demo/ to /demo/. Contact mapped: Walter Mitchell (Founder & CEO). Why: Founder/CEO and best freight brokerage TMS buyer.
5,Alvys,https://alvys.com,https://alvys.com/demo/,TMS/logistics SaaS,~100-150,88,Existing target; logistics; high-value demo; recently growing; maybe slightly above ideal but good vertical proof,https://alvys.com/demo/,Unknown,Nick Darman — CEO & Co-Founder,https://alvys.com/author/nick-darman,"TMS demo profile should capture business type, fleet/brokerage size, current TMS, integrations, and urgency before sales touches it.","Looked at Alvys’ demo path. For TMS buyers, the form submit is only half the story — the rep still needs company type, volume, current stack, and urgency. Want me to send a quick teardown of what the callback profile could include?",LOOM_NEEDED,Ryan,,,,,Record/send Loom to Nick Darman or nearest sales/growth leader; use prospect-specific teardown file.,"Contact mapped: Nick Darman (CEO & Co-Founder). Why: Founder with trucking background. Secondary: Jeremy Hermanns, VP Marketing."
6,Vektor TMS,https://vektortms.com,https://vektortms.com/,Trucking carrier/freight broker TMS,~10-50,87,Search result shows request demo; trucking/freight vertical; likely lower saturation; founder-led possible,https://vektortms.com/,Unknown,Maxim Antony Makarenko — CEO @ Vektor,https://www.linkedin.com/in/maxarenko,"Their demo request should distinguish carrier vs broker, fleet size, ELD/GPS needs, dispatch pain, and timeline.",Saw Vektor’s request-demo motion for trucking carriers/freight brokers. That buyer context matters before the first call. Want me to send a 2-min teardown of what your form could give the rep automatically?,TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,Contact mapped: Maxim Antony Makarenko (CEO @ Vektor). Why: CEO; positioning around freight operations and AI analytics.
7,MVMNT,https://mvmnt.io,https://mvmnt.io/,Freight broker TMS/CRM,~10-50,86,Freight broker focus; CEO visible in content; smaller brokers angle; demo likely available,https://mvmnt.io/blog/bcs-2025-webinar-replay,Unknown,Edward Naylor — CEO,https://www.linkedin.com/in/edward-naylor-ba8b9a31b,MVMNT’s TMS+CRM story makes the form-to-buyer-profile gap obvious: CRM is only useful if the inbound profile is rich.,Saw the MVMNT angle around TMS + CRM for brokers. One thing I’d test: whether the demo form gives sales enough buyer context before callback. Want me to send a quick teardown of that gap?,TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,Contact mapped: Edward Naylor (CEO). Why: CEO; freight broker TMS with AI email quoting angle.
8,Fulcrum,https://fulcrumpro.com,https://fulcrumpro.com/demo-fulcrum,Cloud manufacturing ERP/job shop SaaS,~50-150,86,Manufacturing vertical; demo-led; high ACV; operational buyer; form context matters,https://fulcrumpro.com/demo-fulcrum,Unknown,Sunny Han — CEO & Founder,https://fulcrumpro.com/sunny-han,"Manufacturing demo needs shop type, ERP/spreadsheet pain, volume, timeline, and operational bottleneck before callback.","Looked at Fulcrum’s demo motion. For job shops/manufacturers, the form submit doesn’t tell the rep enough about current workflow, urgency, or operational pain. Want me to send a 2-min teardown of what a buyer profile could look like?",READY_FOR_TEARDOWN,Ryan,,,,,Review target; verify form; record Loom if top 10,Contact mapped: Sunny Han (CEO & Founder). Why: Founder of manufacturing cloud; strong operator-led manufacturing angle.
9,PlexTrac,https://plextrac.com,https://plextrac.com/request-a-demo/,Cybersecurity workflow/reporting SaaS,~50-150,85,Founder visible; demo-led; complex buyer context; cybersecurity workflow pain; may be slightly large but good ACV,https://plextrac.com/company/about/,Unknown,Dan DeCloss — Founder & Chief Customer Brand Officer,https://www.linkedin.com/in/ddecloss,"Security workflow demos need buyer role, pentest/compliance context, team size, current reporting workflow, and urgency before callback.","Saw PlexTrac has a strong workflow/reporting story. The demo form can capture interest, but sales still needs context: team type, current workflow, urgency, and use case. Want a quick teardown of what your rep could see before callback?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,Contact mapped: Dan DeCloss (Founder & Chief Customer Brand Officer). Why: Founder still public-facing; workflow/reporting pain maps to buyer-profile gap.
10,Scrut Automation,https://www.scrut.io,https://www.scrut.io/,Security/compliance automation SaaS,~100-200,84,Founder-led story; book demo; GRC/compliance ACV; buyer context matters; maybe larger than ideal,https://www.scrut.io/company/about-us,Unknown,Aayush Ghosh Choudhury — Co-Founder & CEO,https://www.scrut.io/post/scrut-automation-is-a-linkedin-top-20-startup-2024,"Compliance buyers need framework, audit deadline, company stage, current tools, and urgency before the call.","Looked at Scrut’s Book a Demo motion. Compliance demos are context-heavy — framework, audit timeline, company stage, current stack. Want me to send a quick teardown of what your form could tell sales before callback?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,Contact mapped: Aayush Ghosh Choudhury (Co-Founder & CEO). Why: CEO quoted publicly on moving from visibility to action; use action-ready profile angle.
11,Dock Health,https://dock.health,https://dock.health/,Healthcare task/workflow software,~10-50,83,Healthcare ops; HIPAA workflow; small/team-oriented; free trial/demo motion; less GTM-tool saturated,https://dock.health/,Unknown,Founder/operator/growth,https://www.linkedin.com/company/dock-health/,"Healthcare ops leads need specialty, team size, compliance context, workflow pain, and timeline before sales follows up.","Saw Dock Health’s healthcare workflow positioning. Your buyer context is probably very specific by specialty/team size, but most forms don’t capture that before callback. Want me to send a quick teardown of what the rep-ready profile could include?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
12,FieldPulse,https://www.fieldpulse.com,https://www.fieldpulse.com/,Field service management SaaS,~50-150,82,CEO visible; demo CTA; high inbound SMB/mid-market service businesses; vertical buyer context,https://www.fieldpulse.com/company,Unknown,CEO/growth/sales leader,https://www.linkedin.com/company/fieldpulse/,"Field-service demos need trade, crew size, dispatch/scheduling pain, current tools, and urgency.","Looked at FieldPulse’s demo flow. Field service leads are not interchangeable — trade, crew size, dispatch pain, current tools. Want a 2-min teardown showing what your form could hand sales before callback?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
13,Assignar,https://assignar.com,https://assignar.com/industry/software-for-civil-contractors/,Construction operations SaaS,~100-200,81,Construction ops; request demonstration language; high ACV; maybe a bit above target but vertical fit,https://assignar.com/industry/software-for-civil-contractors/,Unknown,Sales/growth leader,https://www.linkedin.com/company/assignar/,"Heavy civil/subcontractor demos need contractor type, crew size, current scheduling/equipment workflow, and project urgency.","Saw Assignar’s construction ops demo motion. For heavy civil/subcontractors, the rep needs more than a contact form: crew type, current workflow, urgency, and project context. Want me to send a quick teardown?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
14,FreightPOP,https://www.freightpop.com,https://www.freightpop.com/,Shipping/supply-chain software,~50-150,81,AI supply chain software; manufacturers/distributors; demo/sales motion likely; operational buyer context,https://www.freightpop.com/,Unknown,Founder/sales/growth,https://www.linkedin.com/company/freightpop/,"Supply-chain demos need shipment mix, ERP, volume, pain area, and integration requirements before the first call.","Looked at FreightPOP’s supply-chain positioning. The form can catch the hand raise, but the rep still needs shipment mix, ERP, volume, and urgency. Want me to send a quick teardown of that buyer-profile gap?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
